repo_name,repo_url,stars,contributors,commits,update_date,forks
scoringengine,https://github.com/scoringengine/scoringengine,113,11,1797,2023-12-28 22:40:07,45
FinanceCenter,https://github.com/doncat99/FinanceCenter,41,2,189,2023-08-17 09:27:34,17
cube-studio,https://github.com/tencentmusic/cube-studio,1655,28,850,2024-01-15 07:39:48,424
platform,https://github.com/IntertwineIO/platform,4,3,774,2020-08-16 03:32:05,1
queue-management,https://github.com/bcgov/queue-management,42,29,3683,2023-12-14 23:44:55,54
Mycodo,https://github.com/eric-erki/Mycodo,1,21,5353,2021-01-07 02:07:36,2
iris-web,https://github.com/dfir-iris/iris-web,850,20,2845,2024-01-19 12:04:37,121
EvoPIE,https://github.com/cereal-lab/EvoPIE,1,6,784,2023-07-25 17:27:35,0
scout,https://github.com/Clinical-Genomics/scout,134,30,9915,2024-01-29 08:22:14,42
bunkerweb,https://github.com/bunkerity/bunkerweb,3222,21,3402,2024-01-12 11:53:59,210
pass-culture-main,https://github.com/pass-culture/pass-culture-main,90,118,34515,2024-01-29 12:06:08,33
API-1Semestre,https://github.com/Grupo-4-Fatech/API-1Semestre,2,8,311,2021-12-29 01:24:33,2
t5g-field-support-team-utils,https://github.com/RHsyseng/t5g-field-support-team-utils,6,4,658,2024-01-26 18:30:20,5
pervane,https://github.com/hakanu/pervane,201,4,225,2023-08-03 21:44:59,11
recordexpungPDX,https://github.com/codeforpdx/recordexpungPDX,47,46,2086,2024-01-12 18:31:02,88
cartographie-donnees,https://github.com/dnum-mi/cartographie-donnees,15,7,529,2023-01-20 13:01:14,6
opac_5,https://github.com/scieloorg/opac_5,1,19,1970,2024-01-26 16:09:46,5
INFOX,https://github.com/FORCOLAB-UofT/INFOX,23,14,605,2023-04-23 04:07:11,17
otterwiki,https://github.com/redimp/otterwiki,51,4,562,2024-01-24 21:00:58,7
opentera,https://github.com/introlab/opentera,17,6,2267,2023-11-07 14:37:37,8
incubator-superset-internal,https://github.com/dropbox/incubator-superset-internal,11,427,14336,2024-01-11 19:44:12,11
changedetection.io,https://github.com/dgtlmoon/changedetection.io,13572,63,1367,2024-01-29 13:20:39,755
aesopstables,https://github.com/Chemscribbler/aesopstables,1,5,183,2024-01-15 19:32:25,7
redash,https://github.com/getredash/redash,24302,393,7661,2024-01-18 11:50:27,4223
flexmeasures,https://github.com/FlexMeasures/flexmeasures,122,14,1130,2024-01-23 11:12:35,25
VSOURCE_FACE_PLATFORM,https://github.com/VSOURCE-Platform/VSOURCE_FACE_PLATFORM,7,2,125,2021-08-01 13:12:45,0
slurk,https://github.com/clp-research/slurk,15,13,674,2023-12-08 09:42:25,20
nas-tools,https://github.com/receyuki/nas-tools,403,54,5608,2023-02-12 01:54:38,854
gapps,https://github.com/bmarsh9/gapps,258,2,168,2024-01-12 17:42:55,58
Stack-Lifecycle-Deployment,https://github.com/D10S0VSkY-OSS/Stack-Lifecycle-Deployment,198,2,560,2024-01-19 19:26:01,30
cmdb,https://github.com/veops/cmdb,1045,14,648,2024-01-26 05:57:36,296
polydash,https://github.com/byte-power/polydash,5,5,142,2022-09-22 05:47:54,1
Shell-Software-Engineer-Train-to-Hire-Scholarship-Program,https://github.com/asharn/Shell-Software-Engineer-Train-to-Hire-Scholarship-Program,1,2,161,2022-10-05 16:49:45,0
fact-bounty,https://github.com/scorelab/fact-bounty,42,35,359,2020-04-21 02:54:01,96
portfolio,https://github.com/lozanotux/portfolio,3,3,227,2023-11-22 19:41:20,1
BDIC3023J-Software-Methodology-Q-A-Platform,https://github.com/echo-cool/BDIC3023J-Software-Methodology-Q-A-Platform,1,2,241,2023-05-15 17:33:56,0
SpaceDock,https://github.com/KSP-SpaceDock/SpaceDock,70,39,1557,2024-01-04 04:36:12,33
superset,https://github.com/apache/superset,55878,427,14507,2024-01-28 21:42:49,11989
Leonardo,https://github.com/Barca88/Leonardo,2,10,216,2023-07-18 21:46:20,0
MegaQC,https://github.com/MultiQC/MegaQC,87,11,1001,2023-12-19 12:06:48,27
fuel-logger,https://github.com/travipross/fuel-logger,2,2,249,2023-10-09 16:52:58,0
collectives,https://github.com/Club-Alpin-Annecy/collectives,13,14,1011,2024-01-09 20:12:32,19
BioDepot-workflow-builder,https://github.com/BioDepot/BioDepot-workflow-builder,59,8,861,2024-01-26 20:19:30,20
sonar,https://github.com/rero/sonar,12,8,472,2023-12-20 08:46:53,11
stats-service,https://github.com/monarc-project/stats-service,6,4,1078,2023-12-13 13:08:18,1
chaos_genius,https://github.com/chaos-genius/chaos_genius,663,29,3304,2022-10-04 05:30:51,80
bielefeldGEOCLIENT,https://github.com/stadt-bielefeld/bielefeldGEOCLIENT,2,6,435,2024-01-29 15:14:06,2
frameos,https://github.com/FrameOS/frameos,13,3,708,2024-01-28 22:34:57,1
coco-annotator,https://github.com/jsbroks/coco-annotator,1946,34,324,2022-02-01 15:05:18,435
Oryx,https://github.com/microsoft/Oryx,649,43,1630,2024-01-26 20:36:35,156
airflow_external,https://github.com/brahmamtadepalli/airflow_external,1,408,16482,2022-06-14 20:32:49,0
ecotaxa_front,https://github.com/ecotaxa/ecotaxa_front,5,6,992,2024-01-23 17:06:31,5
vx,https://github.com/0z-cloud/vx,11,6,161,2023-07-09 07:38:27,1
airflow,https://github.com/apache/airflow,32824,419,22928,2024-01-29 12:23:45,13294
dify,https://github.com/langgenius/dify,12727,74,1173,2024-01-29 10:21:15,1684
kaapana,https://github.com/kaapana/kaapana,133,18,3320,2024-01-26 11:51:19,33
cafebabel.com,https://github.com/cafebabel/cafebabel.com,2,3,2089,2021-03-25 14:40:05,1
vits-simple-api,https://github.com/Artrajz/vits-simple-api,441,7,409,2024-01-21 05:28:37,86
opac,https://github.com/scieloorg/opac,8,19,1937,2024-01-08 18:11:05,22
ckan,https://github.com/ckan/ckan,4123,282,25535,2024-01-25 13:05:20,1962
arp_b,https://github.com/yenthusiastic/arp_b,2,5,297,2020-02-28 22:03:02,1
feedi,https://github.com/facundoolano/feedi,640,3,408,2024-01-09 14:03:56,15
TrapTagger,https://github.com/WildEyeConservation/TrapTagger,17,2,1896,2024-01-23 11:01:14,0
CrashServer,https://github.com/jameskr97/CrashServer,12,2,439,2023-01-08 10:50:44,3
